Epoch: 1, Loss: 0.646545946598053
Epoch: 2, Loss: 0.6472569704055786
Epoch: 3, Loss: 0.6416380405426025
Epoch: 4, Loss: 0.6425692439079285
Epoch: 5, Loss: 0.6428903341293335
Epoch: 6, Loss: 0.637604296207428
Epoch: 7, Loss: 0.6355186700820923
Epoch: 8, Loss: 0.6335515975952148
Epoch: 9, Loss: 0.6295422911643982
Epoch: 10, Loss: 0.6271890997886658
Epoch: 11, Loss: 0.6284635663032532
Epoch: 12, Loss: 0.6294492483139038
Epoch: 13, Loss: 0.6243865489959717
Epoch: 14, Loss: 0.6175693869590759
Epoch: 15, Loss: 0.6141341328620911
Epoch: 16, Loss: 0.6162528395652771
Epoch: 17, Loss: 0.6125534176826477
Epoch: 18, Loss: 0.6104049682617188
Epoch: 19, Loss: 0.6053246259689331
Epoch: 20, Loss: 0.6035965085029602
Epoch: 21, Loss: 0.601893961429596
Epoch: 22, Loss: 0.5956419110298157
Epoch: 23, Loss: 0.5987176895141602
Epoch: 24, Loss: 0.5952724814414978
Epoch: 25, Loss: 0.5893522500991821
Epoch: 26, Loss: 0.5831277966499329
Epoch: 27, Loss: 0.5863291025161743
Epoch: 28, Loss: 0.5764872431755066
Epoch: 29, Loss: 0.5713160634040833
Epoch: 30, Loss: 0.5725930333137512
Epoch: 31, Loss: 0.5656817555427551
Epoch: 32, Loss: 0.5657252073287964
Epoch: 33, Loss: 0.5623430013656616
Epoch: 34, Loss: 0.5525146126747131
Epoch: 35, Loss: 0.5532172322273254
Epoch: 36, Loss: 0.5407461524009705
Epoch: 37, Loss: 0.5378212332725525
Epoch: 38, Loss: 0.536848247051239
Epoch: 39, Loss: 0.5306442975997925
Epoch: 40, Loss: 0.5200998783111572
Epoch: 41, Loss: 0.5163456201553345
Epoch: 42, Loss: 0.51048344373703
Epoch: 43, Loss: 0.500808835029602
Epoch: 44, Loss: 0.49842289090156555
Epoch: 45, Loss: 0.48821645975112915
Epoch: 46, Loss: 0.48789921402931213
Epoch: 47, Loss: 0.4815855622291565
Epoch: 48, Loss: 0.48615673184394836
Epoch: 49, Loss: 0.4708458185195923
Epoch: 50, Loss: 0.4639694094657898
Epoch: 51, Loss: 0.4646970331668854
Epoch: 52, Loss: 0.45936471223831177
Epoch: 53, Loss: 0.4495926797389984
Epoch: 54, Loss: 0.44653284549713135
Epoch: 55, Loss: 0.4408544898033142
Epoch: 56, Loss: 0.43896248936653137
Epoch: 57, Loss: 0.4327421188354492
Epoch: 58, Loss: 0.4222729206085205
Epoch: 59, Loss: 0.4263187646865845
Epoch: 60, Loss: 0.42384445667266846
Epoch: 61, Loss: 0.41424617171287537
Epoch: 62, Loss: 0.4079374670982361
Epoch: 63, Loss: 0.3956000506877899
Epoch: 64, Loss: 0.4099687337875366
Epoch: 65, Loss: 0.39377927780151367
Epoch: 66, Loss: 0.3901168406009674
Epoch: 67, Loss: 0.406867116689682
Epoch: 68, Loss: 0.3854026794433594
Epoch: 69, Loss: 0.3771304190158844
Epoch: 70, Loss: 0.3848280608654022
Epoch: 71, Loss: 0.37904730439186096
Epoch: 72, Loss: 0.37084683775901794
Epoch: 73, Loss: 0.37504956126213074
Epoch: 74, Loss: 0.38858452439308167
Epoch: 75, Loss: 0.37656253576278687
Epoch: 76, Loss: 0.3775702118873596
Epoch: 77, Loss: 0.37627190351486206
Epoch: 78, Loss: 0.3824886679649353
Epoch: 79, Loss: 0.36609819531440735
Epoch: 80, Loss: 0.3654862940311432
Epoch: 81, Loss: 0.3669811189174652
Epoch: 82, Loss: 0.3637154996395111
Epoch: 83, Loss: 0.3611498177051544
Epoch: 84, Loss: 0.3547412157058716
Epoch: 85, Loss: 0.3578914701938629
Epoch: 86, Loss: 0.3493494987487793
Epoch: 87, Loss: 0.3599774241447449
Epoch: 88, Loss: 0.3436330258846283
Epoch: 89, Loss: 0.3388109505176544
Epoch: 90, Loss: 0.35063570737838745
Epoch: 91, Loss: 0.3547316789627075
Epoch: 92, Loss: 0.3433779180049896
Epoch: 93, Loss: 0.3446566164493561
Epoch: 94, Loss: 0.34337082505226135
Epoch: 95, Loss: 0.33324629068374634
Epoch: 96, Loss: 0.3422805666923523
Epoch: 97, Loss: 0.32921022176742554
Epoch: 98, Loss: 0.34201371669769287
Epoch: 99, Loss: 0.34501269459724426
Epoch: 100, Loss: 0.34361544251441956
Acc: 0.882748538011696, Std: 0.046645446523083535
